股票代码,industry_code,sector,csrc_class
600000,J66货币金融服务,J,证监会行业分类
600009,G56航空运输业,G,证监会行业分类
600010,C31黑色金属冶炼和压延加工业,C,证监会行业分类
600011,D44电力、热力生产和供应业,D,证监会行业分类
600015,J66货币金融服务,J,证监会行业分类
600016,J66货币金融服务,J,证监会行业分类
600018,G55水上运输业,G,证监会行业分类
600019,C31黑色金属冶炼和压延加工业,C,证监会行业分类
600023,D44电力、热力生产和供应业,D,证监会行业分类
600025,D44电力、热力生产和供应业,D,证监会行业分类
600026,G55水上运输业,G,证监会行业分类
600027,D44电力、热力生产和供应业,D,证监会行业分类
600028,B07石油和天然气开采业,B,证监会行业分类
600029,G56航空运输业,G,证监会行业分类
600030,J67资本市场服务,J,证监会行业分类
600031,C35专用设备制造业,C,证监会行业分类
600036,J66货币金融服务,J,证监会行业分类
600039,E48土木工程建筑业,E,证监会行业分类
600048,K70房地产业,K,证监会行业分类
600050,I63电信、广播电视和卫星传输服务,I,证监会行业分类
600061,J67资本市场服务,J,证监会行业分类
600066,C36汽车制造业,C,证监会行业分类
600085,C27医药制造业,C,证监会行业分类
600089,C38电气机械和器材制造业,C,证监会行业分类
600104,C36汽车制造业,C,证监会行业分类
600111,C32有色金属冶炼和压延加工业,C,证监会行业分类
600115,G56航空运输业,G,证监会行业分类
600150,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600160,C26化学原料和化学制品制造业,C,证监会行业分类
600161,C27医药制造业,C,证监会行业分类
600176,C30非金属矿物制品业,C,证监会行业分类
600183,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600188,B06煤炭开采和洗选业,B,证监会行业分类
600196,C27医药制造业,C,证监会行业分类
600219,C32有色金属冶炼和压延加工业,C,证监会行业分类
600233,G60邮政业,G,证监会行业分类
600276,C27医药制造业,C,证监会行业分类
600309,C26化学原料和化学制品制造业,C,证监会行业分类
600346,C26化学原料和化学制品制造业,C,证监会行业分类
600362,C32有色金属冶炼和压延加工业,C,证监会行业分类
600372,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600377,G54道路运输业,G,证监会行业分类
600406,I65软件和信息技术服务业,I,证监会行业分类
600415,L72商务服务业,L,证监会行业分类
600426,C26化学原料和化学制品制造业,C,证监会行业分类
600436,C27医药制造业,C,证监会行业分类
600438,C38电气机械和器材制造业,C,证监会行业分类
600460,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600482,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600489,B09有色金属矿采选业,B,证监会行业分类
600515,K70房地产业,K,证监会行业分类
600519,C15酒、饮料和精制茶制造业,C,证监会行业分类
600522,C38电气机械和器材制造业,C,证监会行业分类
600547,B09有色金属矿采选业,B,证监会行业分类
600570,I65软件和信息技术服务业,I,证监会行业分类
600584,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600585,C30非金属矿物制品业,C,证监会行业分类
600588,I65软件和信息技术服务业,I,证监会行业分类
600600,C15酒、饮料和精制茶制造业,C,证监会行业分类
600660,C30非金属矿物制品业,C,证监会行业分类
600674,D44电力、热力生产和供应业,D,证监会行业分类
600690,C38电气机械和器材制造业,C,证监会行业分类
600741,C36汽车制造业,C,证监会行业分类
600760,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600795,D44电力、热力生产和供应业,D,证监会行业分类
600803,D45燃气生产和供应业,D,证监会行业分类
600809,C15酒、饮料和精制茶制造业,C,证监会行业分类
600845,I65软件和信息技术服务业,I,证监会行业分类
600875,C34通用设备制造业,C,证监会行业分类
600886,D44电力、热力生产和供应业,D,证监会行业分类
600887,C14食品制造业,C,证监会行业分类
600893,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600900,D44电力、热力生产和供应业,D,证监会行业分类
600905,D44电力、热力生产和供应业,D,证监会行业分类
600918,J67资本市场服务,J,证监会行业分类
600919,J66货币金融服务,J,证监会行业分类
600926,J66货币金融服务,J,证监会行业分类
600930,D44电力、热力生产和供应业,D,证监会行业分类
600938,B07石油和天然气开采业,B,证监会行业分类
600941,I63电信、广播电视和卫星传输服务,I,证监会行业分类
600958,J67资本市场服务,J,证监会行业分类
600989,C26化学原料和化学制品制造业,C,证监会行业分类
600999,J67资本市场服务,J,证监会行业分类
601006,G53铁路运输业,G,证监会行业分类
601009,J66货币金融服务,J,证监会行业分类
601012,C38电气机械和器材制造业,C,证监会行业分类
601018,G55水上运输业,G,证监会行业分类
601021,G56航空运输业,G,证监会行业分类
601058,C29橡胶和塑料制品业,C,证监会行业分类
601059,J67资本市场服务,J,证监会行业分类
601066,J67资本市场服务,J,证监会行业分类
601077,J66货币金融服务,J,证监会行业分类
601088,B06煤炭开采和洗选业,B,证监会行业分类
601100,C34通用设备制造业,C,证监会行业分类
601111,G56航空运输业,G,证监会行业分类
601117,E48土木工程建筑业,E,证监会行业分类
601127,C36汽车制造业,C,证监会行业分类
601136,J67资本市场服务,J,证监会行业分类
601138,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
601166,J66货币金融服务,J,证监会行业分类
601169,J66货币金融服务,J,证监会行业分类
601186,E48土木工程建筑业,E,证监会行业分类
601211,J67资本市场服务,J,证监会行业分类
601225,B06煤炭开采和洗选业,B,证监会行业分类
601229,J66货币金融服务,J,证监会行业分类
601236,J67资本市场服务,J,证监会行业分类
601238,C36汽车制造业,C,证监会行业分类
601288,J66货币金融服务,J,证监会行业分类
601298,G55水上运输业,G,证监会行业分类
601318,J68保险业,J,证监会行业分类
601319,J68保险业,J,证监会行业分类
601328,J66货币金融服务,J,证监会行业分类
601336,J68保险业,J,证监会行业分类
601360,I64互联网和相关服务,I,证监会行业分类
601377,J67资本市场服务,J,证监会行业分类
601390,E48土木工程建筑业,E,证监会行业分类
601398,J66货币金融服务,J,证监会行业分类
601456,J67资本市场服务,J,证监会行业分类
601600,C32有色金属冶炼和压延加工业,C,证监会行业分类
601601,J68保险业,J,证监会行业分类
601607,F52零售业,F,证监会行业分类
601618,E48土木工程建筑业,E,证监会行业分类
601628,J68保险业,J,证监会行业分类
601633,C36汽车制造业,C,证监会行业分类
601658,J66货币金融服务,J,证监会行业分类
601668,E48土木工程建筑业,E,证监会行业分类
601669,E48土木工程建筑业,E,证监会行业分类
601688,J67资本市场服务,J,证监会行业分类
601689,C36汽车制造业,C,证监会行业分类
601698,I63电信、广播电视和卫星传输服务,I,证监会行业分类
601728,I63电信、广播电视和卫星传输服务,I,证监会行业分类
601766,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
601788,J67资本市场服务,J,证监会行业分类
601800,E48土木工程建筑业,E,证监会行业分类
601808,B11开采专业及辅助性活动,B,证监会行业分类
601816,G53铁路运输业,G,证监会行业分类
601818,J66货币金融服务,J,证监会行业分类
601825,J66货币金融服务,J,证监会行业分类
601838,J66货币金融服务,J,证监会行业分类
601857,B07石油和天然气开采业,B,证监会行业分类
601868,E48土木工程建筑业,E,证监会行业分类
601872,G55水上运输业,G,证监会行业分类
601877,C38电气机械和器材制造业,C,证监会行业分类
601878,J67资本市场服务,J,证监会行业分类
601881,J67资本市场服务,J,证监会行业分类
601888,L72商务服务业,L,证监会行业分类
601898,B06煤炭开采和洗选业,B,证监会行业分类
601899,B09有色金属矿采选业,B,证监会行业分类
601901,J67资本市场服务,J,证监会行业分类
601916,J66货币金融服务,J,证监会行业分类
601919,G55水上运输业,G,证监会行业分类
601939,J66货币金融服务,J,证监会行业分类
601985,D44电力、热力生产和供应业,D,证监会行业分类
601988,J66货币金融服务,J,证监会行业分类
601995,J67资本市场服务,J,证监会行业分类
601998,J66货币金融服务,J,证监会行业分类
603019,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
603195,C38电气机械和器材制造业,C,证监会行业分类
603259,M73研究和试验发展,M,证监会行业分类
603260,C26化学原料和化学制品制造业,C,证监会行业分类
603288,C14食品制造业,C,证监会行业分类
603296,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
603369,C15酒、饮料和精制茶制造业,C,证监会行业分类
603392,C27医药制造业,C,证监会行业分类
603501,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
603799,C32有色金属冶炼和压延加工业,C,证监会行业分类
603893,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
603986,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
603993,B09有色金属矿采选业,B,证监会行业分类
605117,C38电气机械和器材制造业,C,证监会行业分类
605499,C15酒、饮料和精制茶制造业,C,证监会行业分类
688008,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688009,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
688012,C35专用设备制造业,C,证监会行业分类
688036,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688041,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688047,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688082,C35专用设备制造业,C,证监会行业分类
688111,I65软件和信息技术服务业,I,证监会行业分类
688126,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688169,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688187,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
688223,C38电气机械和器材制造业,C,证监会行业分类
688256,I65软件和信息技术服务业,I,证监会行业分类
688271,C35专用设备制造业,C,证监会行业分类
688303,C38电气机械和器材制造业,C,证监会行业分类
688396,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
688472,C38电气机械和器材制造业,C,证监会行业分类
688506,C27医药制造业,C,证监会行业分类
688981,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000001,J66货币金融服务,J,证监会行业分类
000002,K70房地产业,K,证监会行业分类
000063,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000100,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000157,C35专用设备制造业,C,证监会行业分类
000166,J67资本市场服务,J,证监会行业分类
000301,C26化学原料和化学制品制造业,C,证监会行业分类
000333,C38电气机械和器材制造业,C,证监会行业分类
000338,C36汽车制造业,C,证监会行业分类
000408,C26化学原料和化学制品制造业,C,证监会行业分类
000425,C35专用设备制造业,C,证监会行业分类
000538,C27医药制造业,C,证监会行业分类
000568,C15酒、饮料和精制茶制造业,C,证监会行业分类
000596,C15酒、饮料和精制茶制造业,C,证监会行业分类
000617,J66货币金融服务,J,证监会行业分类
000625,C36汽车制造业,C,证监会行业分类
000630,C32有色金属冶炼和压延加工业,C,证监会行业分类
000651,C38电气机械和器材制造业,C,证监会行业分类
000661,C27医药制造业,C,证监会行业分类
000708,C31黑色金属冶炼和压延加工业,C,证监会行业分类
000725,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000768,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
000776,J67资本市场服务,J,证监会行业分类
000786,C30非金属矿物制品业,C,证监会行业分类
000792,C26化学原料和化学制品制造业,C,证监会行业分类
000807,C32有色金属冶炼和压延加工业,C,证监会行业分类
000858,C15酒、饮料和精制茶制造业,C,证监会行业分类
000876,C13农副食品加工业,C,证监会行业分类
000895,C13农副食品加工业,C,证监会行业分类
000938,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000963,F52零售业,F,证监会行业分类
000975,B09有色金属矿采选业,B,证监会行业分类
000977,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
000983,B06煤炭开采和洗选业,B,证监会行业分类
000999,C27医药制造业,C,证监会行业分类
001391,G56航空运输业,G,证监会行业分类
001965,G54道路运输业,G,证监会行业分类
001979,K70房地产业,K,证监会行业分类
002001,C27医药制造业,C,证监会行业分类
002027,L72商务服务业,L,证监会行业分类
002028,C38电气机械和器材制造业,C,证监会行业分类
002049,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002050,C34通用设备制造业,C,证监会行业分类
002074,C38电气机械和器材制造业,C,证监会行业分类
002142,J66货币金融服务,J,证监会行业分类
002179,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002230,I65软件和信息技术服务业,I,证监会行业分类
002236,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002241,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002252,C27医药制造业,C,证监会行业分类
002304,C15酒、饮料和精制茶制造业,C,证监会行业分类
002311,C13农副食品加工业,C,证监会行业分类
002352,G60邮政业,G,证监会行业分类
002371,C35专用设备制造业,C,证监会行业分类
002384,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002415,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002422,C27医药制造业,C,证监会行业分类
002459,C38电气机械和器材制造业,C,证监会行业分类
002460,C32有色金属冶炼和压延加工业,C,证监会行业分类
002463,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002466,C32有色金属冶炼和压延加工业,C,证监会行业分类
002475,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002493,C26化学原料和化学制品制造业,C,证监会行业分类
002594,C36汽车制造业,C,证监会行业分类
002600,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002601,C26化学原料和化学制品制造业,C,证监会行业分类
002625,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
002648,C26化学原料和化学制品制造业,C,证监会行业分类
002709,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002714,A03畜牧业,A,证监会行业分类
002736,J67资本市场服务,J,证监会行业分类
002916,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002920,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
002938,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
003816,D44电力、热力生产和供应业,D,证监会行业分类
300014,C38电气机械和器材制造业,C,证监会行业分类
300015,Q84卫生,Q,证监会行业分类
300033,J69其他金融业,J,证监会行业分类
300059,J67资本市场服务,J,证监会行业分类
300122,C27医药制造业,C,证监会行业分类
300124,C38电气机械和器材制造业,C,证监会行业分类
300251,R87广播、电视、电影和录音制作业,R,证监会行业分类
300274,C38电气机械和器材制造业,C,证监会行业分类
300308,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300316,C35专用设备制造业,C,证监会行业分类
300347,M73研究和试验发展,M,证监会行业分类
300394,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300408,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300413,I64互联网和相关服务,I,证监会行业分类
300418,I64互联网和相关服务,I,证监会行业分类
300433,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300442,I65软件和信息技术服务业,I,证监会行业分类
300476,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300498,A03畜牧业,A,证监会行业分类
300502,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300628,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300661,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300750,C38电气机械和器材制造业,C,证监会行业分类
300759,M73研究和试验发展,M,证监会行业分类
300760,C35专用设备制造业,C,证监会行业分类
300782,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300803,J69其他金融业,J,证监会行业分类
300832,C27医药制造业,C,证监会行业分类
300866,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
300896,C35专用设备制造业,C,证监会行业分类
300979,C19皮革、毛皮、羽毛及其制品和制鞋业,C,证监会行业分类
300999,C13农副食品加工业,C,证监会行业分类
301236,I65软件和信息技术服务业,I,证监会行业分类
301269,I65软件和信息技术服务业,I,证监会行业分类
302132,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
